YearSeason,SITE,Rep,BLOCK,PLOT NO.,EntryNo,Plthgt,PRODUCTION
2018LR,KALRO ALUPE,1,4,16,1,90.6,1779.2
2018LR,KALRO ALUPE,1,4,20,2,90.4,2270.8
2018LR,KALRO ALUPE,1,4,18,3,85,1941.7
2018LR,KALRO ALUPE,1,1,3,4,84.6,1837.5
2018LR,KALRO ALUPE,1,5,21,5,65.8,1395.8
2018LR,KALRO ALUPE,1,3,12,6,86.6,1183.3
2018LR,KALRO ALUPE,1,2,10,7,96.8,1679.2
2018LR,KALRO ALUPE,1,4,17,8,87.4,1750.0
2018LR,KALRO ALUPE,1,1,4,9,95,1516.7
2018LR,KALRO ALUPE,1,2,9,10,88,883.3
2018LR,KALRO ALUPE,1,4,19,11,71,1775.0
2018LR,KALRO ALUPE,1,1,5,12,79.8,1529.2
2018LR,KALRO ALUPE,1,3,15,13,86.2,2300.0
2018LR,KALRO ALUPE,1,1,1,14,72,1425.0
2018LR,KALRO ALUPE,1,3,14,15,84.4,1833.3
2018LR,KALRO ALUPE,1,2,6,16,77,1741.7
2018LR,KALRO ALUPE,1,5,25,17,87.2,1170.8
2018LR,KALRO ALUPE,1,5,23,18,95,1154.2
2018LR,KALRO ALUPE,1,5,22,19,90.8,1758.3
2018LR,KALRO ALUPE,1,3,13,20,82,1483.3
2018LR,KALRO ALUPE,1,1,2,21,87,1854.2
2018LR,KALRO ALUPE,1,2,7,22,73.6,1866.7
2018LR,KALRO ALUPE,1,3,11,23,94.2,1433.3
2018LR,KALRO ALUPE,1,2,8,24,75.8,1379.2
2018LR,KALRO ALUPE,1,5,24,25,87.4,2054.2
2018LR,KALRO ALUPE,2,2,10,1,86.2,1091.7
2018LR,KALRO ALUPE,2,4,18,2,96,1900.0
2018LR,KALRO ALUPE,2,1,3,3,83.6,1287.5
2018LR,KALRO ALUPE,2,1,1,4,74.8,1229.2
2018LR,KALRO ALUPE,2,5,24,5,77.6,1325.0
2018LR,KALRO ALUPE,2,1,2,6,78.4,1504.2
2018LR,KALRO ALUPE,2,2,6,7,97.4,2179.2
2018LR,KALRO ALUPE,2,5,23,8,69.6,1566.7
2018LR,KALRO ALUPE,2,5,22,9,89.6,1483.3
2018LR,KALRO ALUPE,2,4,20,10,95.8,862.5
2018LR,KALRO ALUPE,2,3,13,11,68.4,1416.7
2018LR,KALRO ALUPE,2,2,8,12,86.6,1125.0
2018LR,KALRO ALUPE,2,4,17,13,93.2,1754.2
2018LR,KALRO ALUPE,2,3,12,14,79.4,1575.0
2018LR,KALRO ALUPE,2,3,11,15,80.2,1175.0
2018LR,KALRO ALUPE,2,5,21,16,76.2,1450.0
2018LR,KALRO ALUPE,2,2,7,17,104.2,870.8
2018LR,KALRO ALUPE,2,4,16,18,90.2,879.2
2018LR,KALRO ALUPE,2,3,14,19,87.6,1554.2
2018LR,KALRO ALUPE,2,5,25,20,83.8,1075.0
2018LR,KALRO ALUPE,2,4,19,21,86.2,1545.8
2018LR,KALRO ALUPE,2,1,4,22,77.6,1987.5
2018LR,KALRO ALUPE,2,2,9,23,94.2,1395.8
2018LR,KALRO ALUPE,2,3,15,24,83.6,1754.2
2018LR,KALRO ALUPE,2,1,5,25,76.4,1754.2
2018LR,KALRO ALUPE,3,2,8,1,92.8,2354.2
2018LR,KALRO ALUPE,3,3,11,2,86.8,2083.3
2018LR,KALRO ALUPE,3,5,23,3,90.4,1887.5
2018LR,KALRO ALUPE,3,3,12,4,80.6,1854.2
2018LR,KALRO ALUPE,3,4,18,5,80.2,2070.8
2018LR,KALRO ALUPE,3,4,20,6,78.2,1866.7
2018LR,KALRO ALUPE,3,4,16,7,91,2487.5
2018LR,KALRO ALUPE,3,1,2,8,84.8,1754.2
2018LR,KALRO ALUPE,3,2,10,9,92.8,2020.8
2018LR,KALRO ALUPE,3,2,7,10,99.2,1379.2
2018LR,KALRO ALUPE,3,4,19,11,72.8,2262.5
2018LR,KALRO ALUPE,3,5,22,12,78.6,1708.3
2018LR,KALRO ALUPE,3,1,1,13,82.6,1825.0
2018LR,KALRO ALUPE,3,1,4,14,71.6,1508.3
2018LR,KALRO ALUPE,3,2,6,15,80,2237.5
2018LR,KALRO ALUPE,3,3,14,16,80.6,2304.2
2018LR,KALRO ALUPE,3,1,5,17,83,970.8
2018LR,KALRO ALUPE,3,5,25,18,82.6,1033.3
2018LR,KALRO ALUPE,3,3,13,19,76.6,1787.5
2018LR,KALRO ALUPE,3,5,24,20,90.4,1641.7
2018LR,KALRO ALUPE,3,4,17,21,74.2,1750.0
2018LR,KALRO ALUPE,3,1,3,22,74.4,2162.5
2018LR,KALRO ALUPE,3,3,15,23,87.6,1470.8
2018LR,KALRO ALUPE,3,5,21,24,83,1837.5
2018LR,KALRO ALUPE,3,2,9,25,79.2,1400.0
2018LR,KALRO KAKAMEGA,1,1,3,1,90,5466.7
2018LR,KALRO KAKAMEGA,1,3,15,2,90,3808.3
2018LR,KALRO KAKAMEGA,1,5,24,3,73,4737.5
2018LR,KALRO KAKAMEGA,1,4,20,4,81,5529.2
2018LR,KALRO KAKAMEGA,1,1,2,5,87,4375.0
2018LR,KALRO KAKAMEGA,1,3,11,6,90,5262.5
2018LR,KALRO KAKAMEGA,1,5,25,7,86,4387.5
2018LR,KALRO KAKAMEGA,1,3,14,8,83,4516.7
2018LR,KALRO KAKAMEGA,1,5,21,9,72,4316.7
2018LR,KALRO KAKAMEGA,1,2,8,10,97,4825.0
2018LR,KALRO KAKAMEGA,1,4,19,11,66,2716.7
2018LR,KALRO KAKAMEGA,1,4,16,12,71,3479.2
2018LR,KALRO KAKAMEGA,1,2,7,13,72,4770.8
2018LR,KALRO KAKAMEGA,1,1,1,14,79,5179.2
2018LR,KALRO KAKAMEGA,1,1,4,15,75,6087.5
2018LR,KALRO KAKAMEGA,1,4,18,16,79,4258.3
2018LR,KALRO KAKAMEGA,1,3,12,17,98,3754.2
2018LR,KALRO KAKAMEGA,1,5,22,18,90,3675.0
2018LR,KALRO KAKAMEGA,1,1,5,19,83,5058.3
2018LR,KALRO KAKAMEGA,1,2,6,20,74,4737.5
2018LR,KALRO KAKAMEGA,1,2,9,21,85,4070.8
2018LR,KALRO KAKAMEGA,1,2,10,22,75,4758.3
2018LR,KALRO KAKAMEGA,1,5,23,23,95,5354.2
2018LR,KALRO KAKAMEGA,1,4,17,24,77,4529.2
2018LR,KALRO KAKAMEGA,1,3,13,25,72,4562.5
2018LR,KALRO KAKAMEGA,2,2,8,1,89,4445.8
2018LR,KALRO KAKAMEGA,2,1,3,2,81,6137.5
2018LR,KALRO KAKAMEGA,2,5,23,3,80,3900.0
2018LR,KALRO KAKAMEGA,2,1,2,4,85,5266.7
2018LR,KALRO KAKAMEGA,2,1,1,5,79,4104.2
2018LR,KALRO KAKAMEGA,2,4,17,6,85,3408.3
2018LR,KALRO KAKAMEGA,2,4,18,7,87,4420.8
2018LR,KALRO KAKAMEGA,2,1,5,9,84,4900.0
2018LR,KALRO KAKAMEGA,2,3,13,10,96,5341.7
2018LR,KALRO KAKAMEGA,2,4,20,11,57,3170.8
2018LR,KALRO KAKAMEGA,2,2,9,12,80,4341.7
2018LR,KALRO KAKAMEGA,2,4,16,13,72,4708.3
2018LR,KALRO KAKAMEGA,2,4,19,14,76,4691.7
2018LR,KALRO KAKAMEGA,2,5,21,15,75,2937.5
2018LR,KALRO KAKAMEGA,2,5,22,16,71,3429.2
2018LR,KALRO KAKAMEGA,2,5,24,17,95,3533.3
2018LR,KALRO KAKAMEGA,2,2,6,18,90,4620.8
2018LR,KALRO KAKAMEGA,2,2,10,18,82,3316.7
2018LR,KALRO KAKAMEGA,2,3,11,19,69,4479.2
2018LR,KALRO KAKAMEGA,2,2,7,20,80,3375.0
2018LR,KALRO KAKAMEGA,2,1,4,21,85,5045.8
2018LR,KALRO KAKAMEGA,2,5,25,22,71,4233.3
2018LR,KALRO KAKAMEGA,2,3,15,23,81,4541.7
2018LR,KALRO KAKAMEGA,2,3,14,24,82,4691.7
2018LR,KALRO KAKAMEGA,2,3,12,25,70,3550.0
2018LR,KALRO KAKAMEGA,3,4,17,1,88,4633.3
2018LR,KALRO KAKAMEGA,3,1,5,2,83,3283.3
2018LR,KALRO KAKAMEGA,3,3,13,3,72,4250.0
2018LR,KALRO KAKAMEGA,3,2,9,4,85,4708.3
